1:The Epic 10th Season Auditions - Pt. 1:May 29, 2019 (2019-05-29)
2:Auditions - Pt. 2 / The Battle Round:June 5, 2019 (2019-06-05)
3:Gordon's Mystery Box:June 12, 2019 (2019-06-12)
4:10th Season Pool Party!:June 19, 2019 (2019-06-19)
5:The Blind Chicken Show:June 20, 2019 (2019-06-20)
6:Hot & Spicy:June 26, 2019 (2019-06-26)
7:Gordon Takes on a Tarte:June 27, 2019 (2019-06-27)
8:Joe Takes a Risk:July 10, 2019 (2019-07-10)
9:Tag Team Tears & Tantrums:July 11, 2019 (2019-07-11)
10:Gerron's Wedding:July 17, 2019 (2019-07-17)
11:Backyard BBQ:July 18, 2019 (2019-07-18)
12:King of the Crabs:July 24, 2019 (2019-07-24)
13:Someone's Toast:July 25, 2019 (2019-07-25)
14:Let Them Eat Cake:July 31, 2019 (2019-07-31)
15:Small Dessert, Big Problems:August 1, 2019 (2019-08-01)
16:NASCAR - Finish Line Feed:August 7, 2019 (2019-08-07)
17:Box in a Box in a Box:August 8, 2019 (2019-08-08)
