1:Battle for a White Apron, Part 1:June 1, 2016 (2016-06-01)
2:Battle for a White Apron, Part 2:June 8, 2016 (2016-06-08)
3:Wolfgang Puck:June 15, 2016 (2016-06-15)
4:A MasterChef Wedding:June 22, 2016 (2016-06-22)
5:Mexican Mystery:June 29, 2016 (2016-06-29)
6:Gordon Ramsay Masterclass:July 6, 2016 (2016-07-06)
7:Jets, Vets, and Home Cooks:July 13, 2016 (2016-07-13)
8:The Good, The Bad, and The Offal:July 20, 2016 (2016-07-20)
9:A Piece of Cake:July 27, 2016 (2016-07-27)
10:The Weakest Links:August 3, 2016 (2016-08-03)
11:Sweet Surprise:August 3, 2016 (2016-08-03)
12:5 Star Food:August 24, 2016 (2016-08-24)
13:Hot Potato:August 24, 2016 (2016-08-24)
14:Tag Team:August 31, 2016 (2016-08-31)
15:Pop-Up Restaurant:August 31, 2016 (2016-08-31)
16:Family Drama:September 7, 2016 (2016-09-07)
17:Critics Choice:September 7, 2016 (2016-09-07)
18:The Finale, Pt. 1:September 14, 2016 (2016-09-14)
19:The Finale, Pt. 2:September 14, 2016 (2016-09-14)
