Luca Manfè:31:Astoria, New York:Restaurant Manager
Natasha Crnjac:27:San Diego, California:Stay-at-Home Mom
Jessica Lysiak:27:Social Circle, Georgia:Yacht Stewardess
Krissi Biasiello:34:Philadelphia, Pennsylvania:Paralegal
James Nelson:26:Victoria, Texas:Retail Sales
Brianna Kozior:22:Doylestown, Pennsylvania:Theater Assistant
Jordan Roots:29:Minneapolis, Minnesota:Delivery Driver
Eddie Jackson:32:Americus, Georgia:Personal Trainer/Former Pro Football Player
Bethy Rossos:28:Estacada, Oregon:High School P.E. Teacher
Savannah Sturges:27:San Diego, California:Middle School Special Ed. Teacher
Lynn Chyi:27:San Diego, California:Systems Administrator
Jonathan Blanchard:28:Marlboro, Massachusetts:Carpenter
Elizabeth Kirby:29:Chattanooga, Tennessee:Writer, Photographer
Albaya Cruz:35:Taunton, Massachusetts:Boxing Coach
Howard Simpson:26:San Diego, California:Barback
Kathleen Prieto:29:Bronx, New York:Office Assistant
Malcolm Green:27:Cambridge, Massachusetts:Unemployed
Adriana Guillen:26:New York, New York:College Admissions Rep.
Sasha Foxx:42:Tuscaloosa, Alabama:Singer
