Claudia Sandoval:31:La Mesa, California:Events Manager
Derrick Peltz:28:Fort Myers, Florida:Drummer
Stephen Lee:47:Palm Springs, California:Urban Gardener
Nicholas Nappi:31:San Diego, California:Dishwasher Sales Rep
Katrina Kozar:34:Milwaukee, Wisconsin:Administrative Assistant
Hetal Vasavada:27:Bloomfield, New Jersey:Startup Developer
Thomas Walton:53:Chicago, Illinois:Fashion Designer
Olivia Crouppen:25:Thousand Oaks, California:Fashion Stylist
Michelle Flash:32:Brooklyn, New York:Kitchen Assistant
Christopher Lu:30:Los Angeles, California:Restaurant Manager
Sara Zacek:29:Baileys Harbor, Wisconsin:Mobile Home Park Manager
Kerry Prince:37:Greensboro, North Carolina:Human Resources Rep
Amanda Saab:25:Seattle, Washington:Social Worker
Charlie Chapman:25:New Orleans, Louisiana:HVAC Technician
Jesse Romero:29:Baton Rouge, Louisiana:Petroleum Landman
Veronica Cili:58:Key West, Florida:Beauty Consultant
Ailsa von Dobeneck:27:Norfolk, Virginia:Assistant Railroad Manager
Daniel Collado:29:Chicago, Illinois:Engineer and Model
Justin Banister:18:New Caney, Texas:High School Student
Darah Carattini:29:Irvine, California:Amusement Park Guide
Brianna Watson:24:Worcester, Massachusetts:Hairstylist
Matthew McConnell:38:Atlanta, Georgia:High School Teacher
