Brielle Baker:24:Dallas, Texas:Cocktail Server
Dorian Hunter:45:Cartersville, Georgia:Creeler
Fred Chang:24:Redondo Beach, California:Revenue Analyst
Jamie Hough:42:Pawleys Island, South Carolina:Fisherman
Keturah King:30:London, England:Freelance Writer
Micah Yaroch:19:Grand Rapids, Michigan:Kitchen Porter
Nick DiGiovanni:22:Barrington, Rhode Island:College Student
Noah Sims:32:Epworth, Georgia:Septic Service Technician
Renee Rice:33:Ada, Oklahoma:Receptionist
Sam Haaz:35:Philadelphia, Pennsylvania:Attorney
Sarah Faherty:31:San Diego, California:Former Army Interrogator
Shari Mukherjee:34:Rochester, Minnesota:Stay-at-Home Mom
Subha Ramiah:54:West Nyack, New York:R&D Director
Wuta Onda:30:Bronx, New York:English Teacher
Liz Linn:53:Durand, Michigan:Events Consultant
Michael Silverstein:31:Pittsburgh, Pennsylvania:Real Estate Flipper
Evan Tesiny:36:Brooklyn, New York:Sales Coordinator
Kimberly White:31:New York, New York:Shoe Designer
Deanna Colon:45:Simi Valley, California:Vocal Coach
Kenny Palazzolo:46:Boston, Massachusetts:Carpenter
